account_id,first_name,middle_name,last_name,name_extension,birthday,address,email,mobile
RES-016,Victor,Yap,Javier,,1965-04-03,"142 Del Pilar St., Brgy. Example",victor.javier@email.com,
RES-017,Karina,Ocampo,Santos,,1952-06-03,"72 Osmena St., Brgy. Example",karina.santos@email.com,09713152854
RES-018,Cesar,Javier,Fernandez,,2001-07-07,,cesar.fernandez@email.com,09541417711
RES-019,Marites,Villanueva,Quizon,Jr.,1953-07-24,"28 Del Pilar St., Brgy. Example",marites.quizon@email.com,09250519597
RES-020,Isabel,Torres,Aquino,,2005-02-15,"141 Luna St., Brgy. Example",,09997677788
RES-021,Juan,Garcia,Yap,,1965-03-14,"55 Pinaglabanan St., Brgy. Example",juan.yap@email.com,09102314313
RES-022,Daniel,Mendoza,Yap,,1979-05-14,"143 Osmena St., Brgy. Example",daniel.yap@email.com,09162795957
RES-023,Dolores,Rosales,Castro,II,1953-01-19,"136 Magsaysay St., Brgy. Example",,09299528037
RES-024,Jose,Navarro,Reyes,,1965-07-04,"146 Del Pilar St., Brgy. Example",jose.reyes@email.com,
RES-025,Carmen,Hernandez,Ocampo,,1983-06-09,"81 Del Pilar St., Brgy. Example",carmen.ocampo@email.com,09793101194
RES-026,Cristina,Ignacio,Bautista,,1954-01-15,"145 Luna St., Brgy. Example",,09384756779
RES-027,Miguel,Flores,Villanueva,Sr.,1973-05-06,"140 Burgos St., Brgy. Example",miguel.villanueva@email.com,09802201721
RES-028,Lourdes,Santos,Ocampo,,1969-11-04,"35 Laurel St., Brgy. Example",,09694019365
RES-029,Sofia,Mendoza,Mendoza,,1995-06-07,"68 Recto St., Brgy. Example",sofia.mendoza@email.com,09154544899
RES-030,Carmen,Ocampo,Gonzales,,1952-01-11,"68 Magsaysay St., Brgy. Example",carmen.gonzales@email.com,09559225330
RES-031,Beatriz,Santos,Garcia,Sr.,1984-01-27,"142 Aguinaldo St., Brgy. Example",beatriz.garcia@email.com,
RES-032,Veronica,Yap,Yap,,2005-01-12,"64 Luna St., Brgy. Example",veronica.yap@email.com,09536344399
RES-033,Esperanza,Rosales,Ramirez,,1965-03-26,"106 Mabini St., Brgy. Example",esperanza.ramirez@email.com,09940081098
RES-034,Rafael,Tolentino,Ocampo,,2001-04-09,"28 Pinaglabanan St., Brgy. Example",rafael.ocampo@email.com,09338836384
RES-035,Francisco,Uy,Yap,,1969-04-08,,francisco.yap@email.com,09174539964
RES-036,Olivia,Mendoza,Cruz,,1975-11-27,"8 Luna St., Brgy. Example",olivia.cruz@email.com,09723403479
RES-037,Ricardo,Reyes,Garcia,,1972-12-26,"131 Luna St., Brgy. Example",ricardo.garcia@email.com,09373506211
RES-038,Pedro,Quizon,Gonzales,IV,1993-12-24,"51 Zamora St., Brgy. Example",pedro.gonzales@email.com,09454549587
RES-039,Esperanza,Cruz,Ocampo,,1996-05-17,"105 Gomez St., Brgy. Example",esperanza.ocampo@email.com,09236674237
RES-040,Francisco,Hernandez,Ocampo,,1993-12-06,"78 Pinaglabanan St., Brgy. Example",francisco.ocampo@email.com,
RES-041,Eduardo,Fernandez,Gonzales,,1988-11-11,"114 Quezon St., Brgy. Example",eduardo.gonzales@email.com,09954725078
RES-042,Mercedes,Torres,Ocampo,IV,1992-11-20,"61 Burgos St., Brgy. Example",mercedes.ocampo@email.com,09126226563
RES-043,Pedro,Aquino,Ignacio,,1999-02-15,"148 Quezon St., Brgy. Example",pedro.ignacio@email.com,09529123992
RES-044,Luz,Lopez,Navarro,,1998-02-25,"46 Recto St., Brgy. Example",luz.navarro@email.com,09230307805
RES-045,Marites,Lopez,Salazar,,1983-09-20,"114 Taft St., Brgy. Example",marites.salazar@email.com,09558209399
RES-046,Beatriz,Ignacio,Villanueva,,2005-08-15,"64 Laurel St., Brgy. Example",beatriz.villanueva@email.com,09772966010
RES-047,Luz,Mendoza,Hernandez,II,1965-05-11,"139 Bonifacio St., Brgy. Example",,09845122940
RES-048,Sofia,Quizon,Torres,III,1971-09-15,"53 Katipunan St., Brgy. Example",sofia.torres@email.com,09846812123
RES-049,Maria,Villanueva,Villanueva,,1974-08-01,"77 Pinaglabanan St., Brgy. Example",maria.villanueva@email.com,09549920675
RES-050,Arturo,Rosales,Quizon,,1988-04-16,"112 Osmena St., Brgy. Example",,09829223044
